Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,4821.310059,4823.919922,4801.160156,4801.27002,4801.27002,1707260000
2016-11-01,4810.299805,4811.02002,4726.350098,4766.939941,4766.939941,1878650000
2016-11-02,4764.830078,4773.649902,4717.560059,4726.910156,4726.910156,2105870000
2016-11-03,4718.529785,4732.200195,4673.049805,4679.100098,4679.100098,2107720000
2016-11-04,4647.589844,4697.939941,4647.589844,4660.459961,4660.459961,2015130000
2016-11-07,4737.97998,4777.060059,4731.790039,4773.72998,4773.72998,1914310000
2016-11-08,4766.47998,4824.970215,4757.25,4804.919922,4804.919922,1736100000
2016-11-09,4748.910156,4832.950195,4747.350098,4825.180176,4825.180176,2824560000
2016-11-10,4849.709961,4855.790039,4685.740234,4747.029785,4747.029785,2984360000
2016-11-11,4729.140137,4759.830078,4711.959961,4751.950195,4751.950195,2285050000
2016-11-14,4752.609863,4753.27002,4677.410156,4702.040039,4702.040039,2369190000
2016-11-15,4733.569824,4778.649902,4727.97998,4764.470215,4764.470215,2156500000
2016-11-16,4745.029785,4794.569824,4742.950195,4792.27002,4792.27002,2057140000
2016-11-17,4789.790039,4826.75,4781.720215,4826.589844,4826.589844,2081760000
2016-11-18,4832.810059,4840.810059,4804.439941,4808.040039,4808.040039,1858610000
2016-11-21,4822.029785,4862.22998,4819.569824,4859,4859,1745320000
2016-11-22,4876.919922,4884.629883,4861.080078,4873.839844,4873.839844,1886800000
2016-11-23,4856.720215,4859.669922,4832.589844,4853.859863,4853.859863,1616740000
2016-11-25,4861.470215,4870.899902,4853.040039,4870.02002,4870.02002,768070000
2016-11-28,4861.72998,4878.870117,4852.709961,4857.02002,4857.02002,1625620000
2016-11-29,4859.850098,4896.569824,4848.890137,4873.209961,4873.209961,1788790000
2016-11-30,4876.299805,4880.759766,4810.810059,4810.810059,4810.810059,2064430000
2016-12-01,4806.77002,4810.439941,4723.569824,4734.100098,4734.100098,2264960000
2016-12-02,4734.379883,4759.029785,4721.410156,4739.370117,4739.370117,1848930000
2016-12-05,4762.339844,4795.279785,4743.529785,4778.140137,4778.140137,1798160000
2016-12-06,4786.060059,4796.580078,4769.390137,4788.669922,4788.669922,1974850000
2016-12-07,4778.859863,4854.319824,4765.439941,4851.939941,4851.939941,2122590000
2016-12-08,4849.75,4869.560059,4843.040039,4859.189941,4859.189941,2231070000
2016-12-09,4878.540039,4897.240234,4877.180176,4895.899902,4895.899902,2038700000
2016-12-12,4878.040039,4882.97998,4854.27002,4874.299805,4874.299805,1927560000
2016-12-13,4893.649902,4960.47998,4890.149902,4935.839844,4935.839844,2085710000
2016-12-14,4943.640137,4955.25,4910.759766,4921.220215,4921.220215,1974150000
2016-12-15,4925.649902,4959.899902,4919.810059,4933.410156,4933.410156,2095910000
2016-12-16,4945.040039,4952.140137,4904.379883,4914.859863,4914.859863,3257750000
2016-12-19,4919.160156,4963,4911.75,4934.850098,4934.850098,1685800000
2016-12-20,4948.339844,4961.549805,4944.319824,4953.799805,4953.799805,1678040000
