Date,Open,High,Low,Close,Volume,Adj Close,Price
01/12/2015,134.860001,136.740005,129.529999,132.039993,4162800,132.039993,-0.020910633
02/11/2015,136.770004,138.619995,131.470001,134.089996,3300600,134.089996,-0.019594998
01/10/2015,130.550003,138.5,127.459999,136.020004,3382500,136.020004,0.041899662
01/09/2015,131.789993,134.660004,127.669998,130.399994,5018000,130.399994,-0.010547075
03/08/2015,143.110001,143.990005,125.5,134.039993,5008600,134.039993,-0.063377877
01/07/2015,137.699997,144.690002,136.039993,142.740005,3141100,142.740005,0.036601366
01/06/2015,143.259995,144.070007,136.080002,136.110001,3526000,136.110001,-0.049909216
01/05/2015,142,148.570007,141.789993,143,3136100,143,0.007042254
01/04/2015,144.339996,144.630005,140.330002,141.210007,3114200,141.210007,-0.021684835
02/03/2015,147.710007,147.979996,142.5,144.320007,3743400,144.320007,-0.022950375
02/02/2015,144.130005,151.630005,143.300003,147.410004,3548500,147.410004,0.022757225
02/01/2015,151.5,151.690002,143.889999,143.910004,4607300,143.910004,-0.050098983
01/12/2014,148.610001,152.940002,144.75,150.149994,4397000,150.149994,0.010362647
03/11/2014,140.880005,149.490005,139.550003,148.690002,3039800,148.690002,0.055437228
01/10/2014,138.369995,141.520004,132.029999,140.160004,4646700,140.160004,0.012936396
02/09/2014,138.029999,142.449997,136.679993,138.139999,3486800,138.139999,0.000796928
01/08/2014,125,137.25,122.720001,137.25,3166300,137.25,0.098
01/07/2014,126.720001,129.389999,125.370003,125.43,2564300,125.43,-0.010179932
02/06/2014,128.279999,128.75,125.440002,126.559998,2832300,126.559998,-0.013408178
01/05/2014,128.809998,129.729996,124.059998,128.339996,2917300,128.339996,-0.003648801
01/04/2014,125.07,129.199997,121.089996,128.850006,3735700,128.850006,0.030223123
03/03/2014,116.150002,125.910004,114.879997,124.970001,4465800,124.970001,0.075936279
03/02/2014,112.110001,116,108.120003,115.779999,4173300,115.779999,0.032735688
02/01/2014,118.339996,118.5,110.849998,111.599998,4374100,111.599998,-0.056954523
02/12/2013,116.5,118.660004,113.5,118.559998,3525200,118.559998,0.017682386
01/11/2013,115.279999,117.330002,113.5,116.529999,3323400,116.529999,0.010843165
01/10/2013,113.739998,117.699997,110.839996,115.089996,3611800,115.089996,0.011869158
03/09/2013,112.32,117.970001,110.720001,113.510002,3997600,113.510002,0.010594747
01/08/2013,116.980003,119.139999,110.720001,111.220001,3175200,111.220001,-0.049239202
01/07/2013,112.510002,119.300003,111.580002,115.870003,3324400,115.870003,0.02986402
03/06/2013,114.760002,115.980003,109.529999,111.919998,4520600,111.919998,-0.024747333
01/05/2013,105.970001,115,105.970001,114.07,4683700,114.07,0.076436717
01/04/2013,104.169998,108.040001,102.690002,106.32,3873400,106.32,0.020639359
01/03/2013,101.449997,104.480003,100.440002,104.199997,3928200,104.199997,0.02710695
01/02/2013,97.559998,102.330002,96.360001,102.160004,4725100,102.160004,0.047150534
02/01/2013,91.32,97.75,91.290001,96.93,4724700,96.93,0.061432326
03/12/2012,88.279999,90.830002,86.949997,89.699997,5545200,89.699997,0.016085161
01/11/2012,86.639999,88.879997,83.849998,88.080002,4703000,88.080002,0.016620533
01/10/2012,88.720001,90.93,86.18,86.349998,3966800,86.349998,-0.026713289
04/09/2012,84.400002,89.949997,84.029999,88.199997,5231000,88.199997,0.045023636
01/08/2012,85.040001,86.010002,82.120003,84.339996,3502300,84.339996,-0.008231479
02/07/2012,83.339996,85.440002,82.139999,84.839996,3805800,84.839996,0.017998561
01/06/2012,78.330002,83.330002,78.330002,83.330002,4802200,83.330002,0.063832502
01/05/2012,80.470001,82.589996,78.279999,79.360001,4544900,79.360001,-0.01379396
02/04/2012,81.150002,82.029999,78.209999,80.449997,4252200,80.449997,-0.008626063
01/03/2012,78.639999,82.470001,78.18,81.150002,4363900,81.150002,0.031917638
01/02/2012,78.790001,80.489998,77.889999,78.449997,4795200,78.449997,-0.004315319
03/01/2012,77.379997,80.080002,75.860001,78.370003,4398300,78.370003,0.012794082
01/12/2011,78.209999,78.900002,73.730003,76.300003,5182200,76.300003,-0.024421379
01/11/2011,76.120003,79.010002,72.599998,78.760002,6370300,78.760002,0.034682066
03/10/2011,71.059998,80.580002,69.07,77.860001,7846800,77.860001,0.095693825
01/09/2011,73.209999,74.290001,65.349998,71.040001,8739700,71.040001,-0.029640733
01/08/2011,75.699997,75.699997,66.510002,73,9805800,73,-0.035667069
01/07/2011,77.239998,78.190002,74.129997,74.169998,5061500,74.169998,-0.039746246
01/06/2011,78.760002,78.889999,73.230003,77.389999,5203900,77.389999,-0.017394654
02/05/2011,82.389999,82.5,77.230003,79.07,3973400,79.07,-0.040296141
01/04/2011,84.089996,84.089996,79.779999,83.300003,4055200,83.300003,-0.009394613
01/03/2011,87.540001,87.610001,80.910004,83.629997,5065100,83.629997,-0.044665341
01/02/2011,82.059998,87.650002,82.059998,87.279999,4290500,87.279999,0.063612005
03/01/2011,80.5,83.480003,79.139999,81.75,4378100,81.75,0.01552795
01/12/2010,80.720001,81.919998,79.199997,80.110001,3840200,80.110001,-0.007556987
01/11/2010,79.760002,83.800003,78.82,79.68,4777300,79.68,-0.001003034
01/10/2010,83.300003,84.449997,78.720001,79.559998,4700700,79.559998,-0.044898018
01/09/2010,79.300003,85.860001,78.989998,82.68,6877500,82.68,0.042622911
02/08/2010,78.779999,80.900002,75.620003,78.779999,6168200,78.779999,0
01/07/2010,79.559998,80.230003,76.209999,78.120003,7002700,78.120003,-0.018099485
01/06/2010,70.050003,81.900002,69.610001,79.690002,13360700,79.690002,0.137615968
03/05/2010,77.699997,78.800003,68.480003,70.550003,6535500,70.550003,-0.092020518
01/04/2010,81.599998,81.949997,75.519997,77,4617500,77,-0.056372526
01/03/2010,79.989998,83.57,79.139999,81.269997,6892400,81.269997,0.016001988
01/02/2010,77.790001,80.18,71.610001,80.129997,622377300,80.129997,0.030080935
04/01/2010,3300,3502.500244,67.870003,76.43,7322500,76.43,-0.976839394
