Date,Open,High,Low,Close,Volume,Adj Close,Price
01/12/2015,5129.640137,5176.77002,4871.589844,5007.410156,1911610000,5007.410156,-0.023828179
02/11/2015,5065.640137,5163.470215,4908.660156,5108.669922,1951903500,5108.669922,0.008494442
01/10/2015,4624.459961,5095.689941,4552.339844,5053.75,2016574000,5053.75,0.092830307
01/09/2015,4673.609863,4960.870117,4487.060059,4620.160156,2090584200,4620.160156,-0.011436493
03/08/2015,5134.339844,5175.259766,4292.140137,4776.509766,2154633800,4776.509766,-0.069693493
01/07/2015,5029.049805,5231.939941,4901.509766,5128.279785,1934535400,5128.279785,0.019731358
01/06/2015,5094.939941,5164.359863,4956.22998,4986.870117,1971511300,4986.870117,-0.021211207
01/05/2015,4966.319824,5111.540039,4888.169922,5070.029785,1900935500,5070.029785,0.020882659
01/04/2015,4894.359863,5119.830078,4844.390137,4941.419922,1889478500,4941.419922,0.009615161
02/03/2015,4973.430176,5042.140137,4825.930176,4900.879883,1956450000,4900.879883,-0.014587576
02/02/2015,4650.600098,4989.25,4580.459961,4963.529785,1985720000,4963.529785,0.067288023
02/01/2015,4760.240234,4777.009766,4563.109863,4635.240234,2049163000,4635.240234,-0.026259179
01/12/2014,4777.72998,4814.950195,4547.310059,4736.049805,1868304000,4736.049805,-0.008723845
03/11/2014,4633.709961,4810.859863,4594.919922,4791.629883,1787715200,4791.629883,0.034080666
01/10/2014,4486.649902,4641.509766,4116.600098,4630.740234,2285241300,4630.740234,0.03211535
02/09/2014,4592.419922,4610.569824,4464.439941,4493.390137,1991976600,4493.390137,-0.021563748
01/08/2014,4363.390137,4580.27002,4321.890137,4580.27002,1655720400,4580.27002,0.049704445
01/07/2014,4424.709961,4485.930176,4351.040039,4369.77002,1900445000,4369.77002,-0.01241662
02/06/2014,4247.959961,4417.459961,4207.609863,4408.180176,2004641900,4408.180176,0.037716979
01/05/2014,4121.25,4252.080078,4021.050049,4242.620117,1961609000,4242.620117,0.029449831
01/04/2014,4219.870117,4286.089844,3946.030029,4114.560059,2216315200,4114.560059,-0.024955758
03/03/2014,4261.419922,4371.709961,4131.810059,4198.990234,2327953800,4198.990234,-0.014649973
03/02/2014,4105.060059,4342.589844,3968.189941,4308.120117,2241890000,4308.120117,0.049465795
02/01/2014,4160.029785,4246.549805,4044.76001,4103.879883,2263246600,4103.879883,-0.013497476
02/12/2013,4065.659912,4177.72998,3979.590088,4176.589844,1835258000,4176.589844,0.027284607
01/11/2013,3932.449951,4069.699951,3855.070068,4059.889893,1833598500,4059.889893,0.032407264
01/10/2013,3774.179932,3966.709961,3650.030029,3919.709961,1963340800,3919.709961,0.038559378
03/09/2013,3622.639893,3798.76001,3593.620117,3771.47998,1844675000,3771.47998,0.041086084
01/08/2013,3654.179932,3694.189941,3573.570068,3589.870117,1557407700,3589.870117,-0.017598973
01/07/2013,3430.47998,3649.350098,3415.22998,3626.370117,1719631800,3626.370117,0.057102836
03/06/2013,3460.76001,3488.310059,3294.949951,3403.25,2057933000,3403.25,-0.01661774
01/05/2013,3325.350098,3532.040039,3296.5,3455.909912,1868743100,3455.909912,0.039261975
01/04/2013,3268.629883,3328.790039,3154.959961,3328.790039,1767663600,3328.790039,0.018405313
01/03/2013,3143.540039,3270.300049,3129.399902,3267.52002,1769299000,3267.52002,0.039439606
01/02/2013,3162.939941,3213.600098,3105.360107,3160.189941,1988840000,3160.189941,-0.000869444
02/01/2013,3091.330078,3164.060059,3076.600098,3142.129883,1962783800,3142.129883,0.016432993
03/12/2012,3029.209961,3061.820068,2951.040039,3019.51001,1753986000,3019.51001,-0.003202139
01/11/2012,2987.540039,3033.850098,2810.800049,3010.23999,1861356100,3010.23999,0.007598208
01/10/2012,3130.310059,3171.459961,2961.159912,2977.22998,1817800000,2977.22998,-0.048902529
04/09/2012,3063.25,3196.929932,3040.23999,3116.22998,1872861500,3116.22998,0.01729535
01/08/2012,2956.719971,3100.540039,2890.850098,3066.959961,1613204700,3066.959961,0.037284556
02/07/2012,2938.409912,2987.939941,2837.719971,2939.52002,1737529500,2939.52002,0.000377792
01/06/2012,2810.129883,2942.280029,2726.679932,2935.050049,1879992300,2935.050049,0.04445352
01/05/2012,3044.790039,3085.399902,2774.449951,2827.340088,1922548100,2827.340088,-0.071417059
02/04/2012,3085.939941,3128.25,2946.040039,3046.360107,1771358000,3046.360107,-0.01282586
01/03/2012,2979.110107,3134.169922,2900.280029,3091.570068,1750883600,3091.570068,0.037749515
01/02/2012,2830.100098,3000.110107,2825.189941,2966.889893,1994932500,2966.889893,0.048333907
03/01/2012,2657.389893,2834.300049,2627.22998,2813.840088,1855622500,2813.840088,0.058873632
01/12/2011,2615.669922,2674.530029,2518.01001,2605.149902,1630203800,2605.149902,-0.004021922
01/11/2011,2607.310059,2730.389893,2441.47998,2620.340088,1944674700,2620.340088,0.004997499
03/10/2011,2401.189941,2753.370117,2298.889893,2684.409912,2121923300,2684.409912,0.117949841
01/09/2011,2583.340088,2643.370117,2414.310059,2415.399902,2144659000,2415.399902,-0.065008934
01/08/2011,2791.449951,2796.23999,2331.649902,2579.459961,2564059100,2579.459961,-0.075942608
01/07/2011,2775.080078,2878.939941,2724.98999,2756.379883,1979209500,2756.379883,-0.006738615
01/06/2011,2829.389893,2834.050049,2599.860107,2773.52002,2019538100,2773.52002,-0.019746262
02/05/2011,2881.280029,2887.75,2739.850098,2835.300049,2119866600,2835.300049,-0.015958178
01/04/2011,2796.669922,2876.830078,2706.5,2873.540039,2024012500,2873.540039,0.027486303
01/03/2011,2791.080078,2802.320068,2603.5,2781.070068,2041148200,2781.070068,-0.003586429
01/02/2011,2717.610107,2840.51001,2705.540039,2782.27002,2170254700,2782.27002,0.023792932
03/01/2011,2676.649902,2766.169922,2663.639893,2700.080078,2108703500,2700.080078,0.008753545
01/12/2010,2535.189941,2675.26001,2535.189941,2652.870117,1696976800,2652.870117,0.046418682
01/11/2010,2520.449951,2592.939941,2459.790039,2498.22998,2057668500,2498.22998,-0.008815875
01/10/2010,2386.820068,2517.5,2332.459961,2507.409912,2076593300,2507.409912,0.050523224
